system_id	display_name	rom_dirs	extensions	runtime	launch_profile	core_id	built_core	deployed_core	fe_selectable	fe_executable	target_for_verification	default_profile	verification_status	notes
2048	2048	2048		RA	retroarch:2048	2048	yes	yes	yes	yes	yes	yes	untested	systems.json
2048	2048	2048		PICO	picoarch:2048	2048	yes	yes	yes	yes	yes	no	untested	FE auto companion
3do	3DO	PANASONIC;3do	iso;chd;bin;cue	RA	retroarch:opera	opera	yes	yes	yes	yes	yes	yes	untested	systems.json
3do	3DO	PANASONIC;3do	iso;chd;bin;cue	PICO	picoarch:opera	opera	yes	yes	yes	yes	yes	no	untested	FE auto companion
amiga	Amiga	AMIGA;amiga	adf;adz;dms;fdi;ipf;hdf;hdz;lha;slave;info;cue;ccd;nrg;mds;iso;chd;uae;m3u;zip;7z;rp9	RA	retroarch:puae	puae	yes	yes	yes	yes	yes	yes	pass	systems.json
amiga	Amiga	AMIGA;amiga	adf;adz;dms;fdi;ipf;hdf;hdz;lha;slave;info;cue;ccd;nrg;mds;iso;chd;uae;m3u;zip;7z;rp9	PICO	picoarch:puae	puae	yes	yes	yes	yes	yes	no	pass	FE auto companion
arcade	Arcade	ARCADE;arcade	zip;7z	RA	retroarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	yes	pass	systems.json
arcade	Arcade	ARCADE;arcade	zip;7z	RA	retroarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	pass	systems.json
arcade	Arcade	ARCADE;arcade	zip;7z	RA	retroarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	pass	systems.json
arcade	Arcade	ARCADE;arcade	zip;7z	RA	retroarch:mame2000	mame2000	yes	yes	yes	yes	yes	no	pass	systems.json
arcade	Arcade	ARCADE;arcade	zip;7z	PICO	picoarch:mame2003_plus	mame2003_plus	yes	yes	yes	yes	yes	no	fail	FE auto companion
arcade	Arcade	ARCADE;arcade	zip;7z	PICO	picoarch:fbneo	fbneo	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
arcade	Arcade	ARCADE;arcade	zip;7z	PICO	picoarch:fbalpha2012	fbalpha2012	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
arcade	Arcade	ARCADE;arcade	zip;7z	PICO	picoarch:mame2000	mame2000	yes	yes	yes	yes	yes	no	fail_perf	FE auto companion
atari2600	Atari 2600	ATARI2600;atari2600	a26;bin;zip;7z	RA	retroarch:stella2014	stella2014	yes	yes	yes	yes	yes	yes	pass	systems.json
atari2600	Atari 2600	ATARI2600;atari2600	a26;bin;zip;7z	PICO	picoarch:stella2014	stella2014	yes	yes	yes	yes	yes	no	pass	FE auto companion
atari5200	Atari 5200	FIFTYTWOHUNDRED;atari5200	a52;bin;zip;7z	RA	retroarch:atari800	atari800	yes	yes	yes	yes	yes	yes	fail_boot	systems.json
atari5200	Atari 5200	FIFTYTWOHUNDRED;atari5200	a52;bin;zip;7z	PICO	picoarch:atari800	atari800	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
atari7800	Atari 7800	ATARI7800;atari7800	a78;bin;cdf;zip;7z	RA	retroarch:prosystem	prosystem	yes	yes	yes	yes	yes	yes	pass	systems.json
atari7800	Atari 7800	ATARI7800;atari7800	a78;bin;cdf;zip;7z	PICO	picoarch:prosystem	prosystem	yes	yes	yes	yes	yes	no	pass	FE auto companion
atari800	Atari 8-bit	EIGHTHUNDRED;atari800	atr;xfd;dcm;cas;bin;atx;car;rom;com;xex;m3u;zip;7z	RA	retroarch:atari800	atari800	yes	yes	yes	yes	yes	yes	fail_boot	systems.json
atari800	Atari 8-bit	EIGHTHUNDRED;atari800	atr;xfd;dcm;cas;bin;atx;car;rom;com;xex;m3u;zip;7z	PICO	picoarch:atari800	atari800	yes	yes	yes	yes	yes	no	fail_boot	FE auto companion
atarist	Atari ST	ATARIST;atarist	st;msa;zip;stx;dim;ipf;vhd;gem;ide;m3u	RA	retroarch:hatari	hatari	yes	yes	yes	yes	yes	yes	pass	systems.json
