system_id	display_name	runtime	launch_profile	component_id	default_profile	verification_status	adoption_state	frontend_runtime	frontend_source	frontend_ref	source_repo	source_ref	version_policy	build_recipe	build_options	build_log	notes
amiga	Amiga	PICO	picoarch:puae	puae	no	pass	adopted	picoarch	https://github.com/shauninman/picoarch.git	802047c276a5a931b0bf837c4ea4b8e238bdeabe	https://github.com/libretro/libretro-uae.git	0b883572b3d67cdfa2ac4a05d0d22202b641d6d2	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/puae.log	FE auto companion
amiga	Amiga	RA	retroarch:puae	puae	yes	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/libretro-uae.git	0b883572b3d67cdfa2ac4a05d0d22202b641d6d2	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/puae.log	systems.json
arcade	Arcade	RA	retroarch:fbalpha2012	fbalpha2012	no	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/fbalpha2012.git	7f8860543a81ba79c0e1ce1aa219af44568c628a	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/fbalpha2012.log	systems.json
arcade	Arcade	RA	retroarch:fbneo	fbneo	no	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/FBNeo.git	bce2754588b17ce7a69acc5faf4ce15bc1a4b80e	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/fbneo.log	systems.json
arcade	Arcade	RA	retroarch:mame2000	mame2000	no	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/mame2000-libretro.git	0208517404e841fce0c094f1a2776a0e1c6c101d	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/mame2000.log	systems.json
arcade	Arcade	RA	retroarch:mame2003_plus	mame2003_plus	yes	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/mame2003-plus-libretro.git	4bf97d5a4954c2fcb4b9dc19c864357f94e2fbf1	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/mame2003_plus.log	systems.json
atari2600	Atari 2600	PICO	picoarch:stella2014	stella2014	no	pass	adopted	picoarch	https://github.com/shauninman/picoarch.git	802047c276a5a931b0bf837c4ea4b8e238bdeabe	https://github.com/libretro/stella2014-libretro.git	1351a4fe2ca6b1f3a66c7db0df2ec268ab002d41	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=classic_armv7_a7 jobs=3	docs/build-logs/stella2014.log	FE auto companion
atari2600	Atari 2600	RA	retroarch:stella2014	stella2014	yes	pass	adopted	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/stella2014-libretro.git	1351a4fe2ca6b1f3a66c7db0df2ec268ab002d41	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=classic_armv7_a7 jobs=3	docs/build-logs/stella2014.log	systems.json
atari5200	Atari 5200	PICO	picoarch:atari800	atari800	no	pass_init	candidate_init	picoarch	https://github.com/shauninman/picoarch.git	802047c276a5a931b0bf837c4ea4b8e238bdeabe	https://github.com/libretro/libretro-atari800.git	94033288b026fe699bc50703609807aa8075f4dd	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/atari800.log	FE auto companion
atari5200	Atari 5200	RA	retroarch:atari800	atari800	yes	pass_init	candidate_init	retroarch-practical	https://github.com/libretro/RetroArch	v1.22.2	https://github.com/libretro/libretro-atari800.git	94033288b026fe699bc50703609807aa8075f4dd	prefer_onion_version	docker/plumos-toolchain/libretro-core-recipes.tsv	platform=armv jobs=3	docs/build-logs/atari800.log	systems.json
