core_id	class	display_name	systemname	category	supported_extensions	system_ids	rom_dirs	mapping_status	make_args	make_jobs	serial_jobs	commit	log
fceumm	A	Nintendo - NES / Famicom (FCEUmm)	Nintendo Entertainment System	Emulator	fds,nes,unif,unf	nes;fds	FC;FDS	existing_profile	platform=armv7-hardfloat-neon HAVE_NEON=1 ARCH=arm BUILTIN_GPU=neon	3	no	61171e198f8525ea99aca04116e45a9e3f358855	docs/build-logs/fceumm.log
nestopia	A	Nintendo - NES / Famicom (Nestopia)	Nintendo Entertainment System	Emulator	nes,fds,unf,unif	nes;fds	FC;FDS	existing_profile	platform=classic_armv7_a7	1	yes	a9ee6ca84f04990e209880fe47144e62b14253db	docs/build-logs/nestopia.log
quicknes	A	Nintendo - NES / Famicom (QuickNES)	Nintendo Entertainment System	Emulator	nes	nes	FC	existing_profile	platform=classic_armv7_a7	1	yes	a0ec494c417f365c578f3dacadb04383e4a99ade	docs/build-logs/quicknes.log
gambatte	A	Nintendo - Game Boy / Color (Gambatte)	Game Boy/Game Boy Color	Emulator	gb,gbc,dmg	gb;gbc	GB;GBC	existing_profile	platform=classic_armv7_a7	1	yes	90701d6e5d68d31ead49f92f222c144c44a2645c	docs/build-logs/gambatte.log
mgba	A	Nintendo - Game Boy Advance (mGBA)	Game Boy/Game Boy Color/Game Boy Advance	Emulator	gb,gbc,gba	gb;gbc;gba	GB;GBC;GBA	existing_profile	cmake/configure	3	no	4f70b313fcf82b043bee232dd5af231a7755e1d8	docs/build-logs/mgba.log
gpsp	A	Nintendo - Game Boy Advance (gpSP)	Game Boy Advance	Emulator	gba,bin	gba	GBA	existing_profile	platform=classic_armv7_a7	1	yes	6250979f01db3f9ee5ebca179316e1319f017b48	docs/build-logs/gpsp.log
genesis_plus_gx	A	Sega - MS/GG/MD/CD (Genesis Plus GX)	Sega 8/16-bit (Various)	Emulator	mdx,md,smd,gen,bin,cue,iso,sms,bms,gg,sg,68k,sgd,chd,m3u	megadrive;mastersystem;gamegear;segacd;sg1000	MD;MS;GG;SEGACD;SEGASGONE	add_system	platform=classic_armv7_a7	3	no	aea7b9d5475ec02427fbb00a9093cae74b87ff8a	docs/build-logs/genesis_plus_gx.log
picodrive	A	Sega - MS/GG/MD/CD/32X (PicoDrive)	Sega 8/16-bit + 32X (Various)	Emulator	bin,gen,smd,md,32x,cue,iso,chd,sms,gg,sg,sc,m3u,68k,sgd,pco	megadrive;mastersystem;gamegear;sega32x;segacd;sg1000	MD;MS;GG;THIRTYTWOX;SEGACD;SEGASGONE	add_system	platform=classic_armv7_a7	1	yes	13ceea4ceb5f1b3a7d56baf67ec55247c1dfd154	docs/build-logs/picodrive.log
snes9x	A	Nintendo - SNES / SFC (Snes9x)	Super Nintendo Entertainment System	Emulator	smc,sfc,swc,fig,bs,st	sfc	SFC	existing_profile	platform=armv LTO=	3	no	f6197644e871d05aa20bc443f2e94b647b1e53a9	docs/build-logs/snes9x.log
snes9x2005	A	Nintendo - SNES / SFC (Snes9x 2005)	Super Nintendo Entertainment System	Emulator	smc,fig,sfc,gd3,gd7,dx2,bsx,swc	sfc	SFC	existing_profile	platform=armv7-hardfloat-neon HAVE_NEON=1 ARCH=arm BUILTIN_GPU=neon	3	no	fd45b0e055bce6cff3acde77414558784e93e7d0	docs/build-logs/snes9x2005.log
