id	onion_prebuilt	plumos_recipe	plumos_class	version_policy	onion_display_version	onion_corename	onion_binary_sha256	onion_binary_commit	onion_binary_date	onion_binary_subject	onion_builder_file	onion_builder_repo	onion_builder_ref	onion_builder_subdir	onion_builder_makefile	onion_builder_args	plumos_repo	plumos_ref	plumos_subdir	plumos_makefile	plumos_make_args
2048	yes	yes	O	prefer_onion_version	1.0	2048	65c61613c57cbf8ad6b1cf0c93e7f998f1cd152e85db61cfe339d77d508b1ac9	bb5095474d08e4b532bd7101c3803573cfae3a6f	2023-03-20T01:11:42+01:00	Dev v4.1 RC2 (final) (#712)	cores-onionos	https://github.com/libretro/libretro-2048.git	master	-	Makefile.libretro	-	https://github.com/libretro/libretro-2048.git	master	-	Makefile.libretro	platform=unix
81	yes	yes	O	prefer_onion_version	1.0a	81	c70e5b4805064e5abfa1bbb401296f1f8651420d4e6e81078d8fdee417a1bb81	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/81-libretro.git	master	-	Makefile	-	https://github.com/libretro/81-libretro.git	master	-	Makefile	platform=armv
a5200	yes	no	-	missing_from_plumos	2.0.2	a5200	8887b59eedc14ddaade30d901b0bc3787555b7898218b89a5651699140a2e9d0	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	-	-	-	-	-
arduous	yes	no	-	missing_from_plumos	0.1.0	Arduous	f28c2287c3e2d000ff065737ba68a6e915f11f9b10a3bffcd21d9eb7e4a7d370	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	-	-	-	-	-	-	-	-	-	-	-
atari800	yes	yes	O	prefer_onion_version	3.1.0	Atari800	418a70f6c34bb286d6de572dc02f10d95a56947ba04885b8e10df30e75f576f3	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/libretro-atari800.git	master	-	Makefile	-	https://github.com/libretro/libretro-atari800.git	master	-	Makefile	platform=armv
bk	yes	yes	O	prefer_onion_version	1.00	bk	80e863134543c747c7e67c0072c7950c1df48c287bde64e351932b852a94a3e9	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/bk-emulator.git	master	-	Makefile.libretro	-	https://github.com/libretro/bk-emulator.git	master	-	Makefile.libretro	platform=armv
bluemsx	yes	yes	A	prefer_onion_version	SVN	blueMSX	8b8e41e636b3c8779f19c639dde8e294a098c0c5ebc3a42ca112b197b6018504	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/blueMSX-libretro.git	master	-	Makefile.libretro	-	https://github.com/libretro/blueMSX-libretro.git	master	-	Makefile.libretro	platform=armv
cannonball	yes	yes	O	prefer_onion_version	1.0	Cannonball	b97adcb1fe3dcc5806af7aed629338b4e6e60370dae973701a711f70b0be0263	ba4ba05d7b403e6e6c6a2614b13144c4dd949fe1	2022-09-02T03:34:50+02:00	Onion V4 release candidate (#120)	cores-onionos	https://github.com/libretro/cannonball.git	master	-	Makefile	-	https://github.com/libretro/cannonball.git	master	-	Makefile	platform=armv
cap32	yes	yes	O	prefer_onion_version	v4.2.0	Caprice32	c8bb6294220bbf088879114f2c445e592efa9d6bcf34ca13ee9e90f1108df844	faea11bc9516fd1ba9701fe01a8dabe4e8a7d246	2024-12-23T15:09:08+01:00	Update core: Caprice32 (includes screen crop option) (#1727)	cores-onionos	https://github.com/libretro/libretro-cap32.git	master	-	Makefile	-	https://github.com/libretro/libretro-cap32.git	master	-	Makefile	platform=armv
chailove	yes	yes	O	prefer_onion_version	1.2.1	ChaiLove	8b9beccc12ce04415422350c9cd2277d10af069be345c1b7103b51970b185fa8	13fc96b75695ac6941aed1c9b9fa2cc3b4374182	2023-12-17T01:01:49+00:00	Feat: new cores & core updates (#1322)	cores-onionos	https://github.com/libretro/libretro-chailove.git	master	-	Makefile	-	https://github.com/libretro/libretro-chailove.git	master	-	Makefile	platform=armv
