system_id	display_name	rom_dir	directory_aliases	extensions	default_core	candidate_cores	status	source	notes
nes	NES	FC	nes;famicom	nes,unf,unif,zip,7z	fceumm	fceumm,nestopia,quicknes	existing	systems.json	-
fds	FDS	FDS	FC;fds	fds,zip,7z	fceumm	fceumm,nestopia	existing	systems.json	-
sfc	SFC	SFC	sfc;snes	sfc,smc,fig,bs,swc,zip,7z	snes9x2005	chimerasnes,mednafen_supafaust,snes9x,snes9x2002,snes9x2005,snes9x2005_plus,snes9x2010	add_core	systems.json	add candidates: chimerasnes,mednafen_supafaust,snes9x2002,snes9x2005_plus,snes9x2010
gb	GB	GB	gb	gb,zip,7z	gambatte	gambatte,gearboy,mgba,tgbdual,vbam	add_core	systems.json	add candidates: gearboy,tgbdual,vbam
gbc	GBC	GBC	GB;gbc	gbc,zip,7z	gambatte	gambatte,gearboy,mgba,tgbdual,vbam	add_core	systems.json	add candidates: gearboy,tgbdual,vbam
gba	GBA	GBA	gba	gba,zip,7z	mgba	gpsp,mednafen_gba,meteor,mgba,vba_next,vbam	add_core	systems.json	add candidates: mednafen_gba,meteor,vba_next,vbam
megadrive	Mega Drive	MD	megadrive;genesis	gen,md,smd,bin,zip,7z	genesis_plus_gx	genesis_plus_gx,picodrive	existing	systems.json	-
mastersystem	Master System	MS	MD;mastersystem	sms,bin,zip,7z	genesis_plus_gx	gearsystem,genesis_plus_gx,picodrive	add_core	systems.json	add candidates: gearsystem
gamegear	Game Gear	GG	GameGear;MD;gamegear	gg,zip,7z	genesis_plus_gx	gearsystem,genesis_plus_gx,picodrive	add_core	systems.json	add candidates: gearsystem
sega32x	32X	THIRTYTWOX	MD;sega32x	32x,bin,zip,7z	picodrive	picodrive	existing	systems.json	-
segacd	Sega CD	SEGACD	segacd;megacd	cue,chd,iso,m3u,bin	genesis_plus_gx	genesis_plus_gx,picodrive	existing	systems.json	-
pcengine	PC Engine	PCE	pcengine;tg16	pce,sgx,zip,7z	mednafen_pce_fast	mednafen_pce,mednafen_pce_fast,mednafen_supergrafx	add_core	systems.json	add candidates: mednafen_pce
supergrafx	SuperGrafx	SGX	PCE;supergrafx	sgx,pce,zip,7z	mednafen_supergrafx	mednafen_pce,mednafen_pce_fast,mednafen_supergrafx	add_core	systems.json	add candidates: mednafen_pce
pcenginecd	PC Engine CD	PCECD	pcenginecd;tg16cd	cue,chd,iso,m3u	mednafen_pce_fast	mednafen_pce,mednafen_pce_fast	add_core	systems.json	add candidates: mednafen_pce
psx	PlayStation	PS	PSX;psx	cue,chd,pbp,m3u,iso,img,bin	pcsx_rearmed	pcsx_rearmed	existing	systems.json	-
neogeo	Neo Geo	NEOGEO	neogeo	zip,7z	fbneo	fbalpha2012,fbalpha2012_neogeo,fbneo	add_core	systems.json	add candidates: fbalpha2012,fbalpha2012_neogeo
neogeocd	Neo Geo CD	NEOCD	neogeocd	cue,chd	neocd	neocd	existing	systems.json	-
ngp	NGP	NGP	ngp	ngp,zip,7z	mednafen_ngp	mednafen_ngp	existing	systems.json	-
ngpc	NGPC	NGPC	NGP;ngpc	ngc,ngpc,zip,7z	mednafen_ngp	mednafen_ngp	existing	systems.json	-
wonderswan	WonderSwan	WS	WSC;wonderswan	ws,zip,7z	mednafen_wswan	mednafen_wswan	existing	systems.json	-
wonderswancolor	WonderSwan Color	WSC	wonderswancolor	wsc,zip,7z	mednafen_wswan	mednafen_wswan	existing	systems.json	-
lynx	Atari Lynx	LYNX	lynx	lnx,lyx,bll,o,zip,7z	mednafen_lynx	handy,mednafen_lynx	existing	systems.json	-
virtualboy	Virtual Boy	VB	virtualboy	vb,vboy,bin,zip,7z	mednafen_vb	mednafen_vb	existing	systems.json	-
arcade	Arcade	ARCADE	arcade	zip,7z	mame2003_plus	fbalpha2012,fbneo,mame2000,mame2003_plus	add_core	systems.json	add candidates: mame2000
fbneo	FBNeo	FBNEO	ARCADE;fbneo	zip,7z	fbneo	fbneo	existing	systems.json	-
mame2003plus	MAME 2003+	MAME2003PLUS	ARCADE;mame	zip,7z	mame2003_plus	mame2003_plus	existing	systems.json	-
cps1	CPS1	CPS1	ARCADE;cps1	zip,7z	fbneo	fbalpha2012,fbalpha2012_cps1,fbneo	add_core	systems.json	add candidates: fbalpha2012_cps1
cps2	CPS2	CPS2	ARCADE;cps2	zip,7z	fbneo	fbalpha2012,fbalpha2012_cps2,fbneo	add_core	systems.json	add candidates: fbalpha2012_cps2
cps3	CPS3	CPS3	ARCADE;cps3	zip,7z	fbneo	fbalpha2012,fbneo	existing	systems.json	-
dos	DOS	DOS	pc	dosz,conf,exe,bat,zip	dosbox_pure	dosbox_pure	existing	systems.json	-
easyrpg	EasyRPG	EASYRPG	easyrpg	easyrpg,ldb,zip	easyrpg	easyrpg	existing	systems.json	-
pico8	PICO-8	PICO8	PICO;pico-8	p8,png	retro8	fake08,retro8	existing	systems.json	-
scummvm	ScummVM	SCUMMVM	scummvm	scummvm,svm	scummvm	scummvm	existing	systems.json	-
msx	MSX	MSX	msx	rom,mx1,mx2,dsk,cas,zip,7z	bluemsx	bluemsx,fmsx	existing	systems.json	-
pc88	PC-88	PC88	pc-8800	d88,u88,m3u,zip	quasi88	quasi88	existing	systems.json	-
pc98	PC-98	PC98	pc-9800	d88,fdi,hdi,fdd,nhd,hdd,m3u,zip	np2kai	nekop2,np2kai	add_core	systems.json	add candidates: nekop2
x68000	X68000	X68000	x68000	dim,hdf,xdf,m3u,zip,7z	px68k	px68k	existing	systems.json	-
tic80	TIC-80	TIC	tic-80	tic	tic80	tic80	existing	systems.json	-
atari2600	Atari 2600	ATARI2600	atari2600	a26,bin,zip,7z	stella2014	stella2014	existing	systems.json	-
