id	plumos_recipe	plumos_class	version_policy	onion_display_version	onion_binary_date	embedded_build_date	lock_date	lock_date_source	onion_builder_repo	onion_builder_ref	onion_builder_subdir	onion_builder_makefile	onion_builder_args	resolved_source_commit	resolved_source_date	resolved_source_subject	plumos_ref	resolution_status	notes
2048	yes	O	prefer_onion_version	1.0	2023-03-20T01:11:42+01:00	-	2023-03-20T00:11:42Z	onion_binary_commit_date	https://github.com/libretro/libretro-2048.git	master	-	Makefile.libretro	-	03631fcdfdff1280116006043ccc4977c0bd4384	2023-03-04T14:56:32+00:00	Update Makefile.libretro	03631fcdfdff1280116006043ccc4977c0bd4384	resolved	ref=master resolved_from=refs/remotes/origin/master
81	yes	O	prefer_onion_version	1.0a	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/81-libretro.git	master	-	Makefile	-	2e34567a320cba27b9162b1776db4de3cdb7cf03	2022-04-12T10:18:32+02:00	Add OpenDingux build target (#36)	2e34567a320cba27b9162b1776db4de3cdb7cf03	resolved	ref=master resolved_from=refs/remotes/origin/master
atari800	yes	O	prefer_onion_version	3.1.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/libretro-atari800.git	master	-	Makefile	-	94033288b026fe699bc50703609807aa8075f4dd	2022-07-26T15:08:46+02:00	Don't use C++ linker	94033288b026fe699bc50703609807aa8075f4dd	resolved	ref=master resolved_from=refs/remotes/origin/master
bk	yes	O	prefer_onion_version	1.00	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/bk-emulator.git	master	-	Makefile.libretro	-	cf70ce503ddb65051a58f3c4f61d1e258fc4c84b	2022-07-26T15:10:16+02:00	Update .gitlab-ci.yml	cf70ce503ddb65051a58f3c4f61d1e258fc4c84b	resolved	ref=master resolved_from=refs/remotes/origin/master
bluemsx	yes	A	prefer_onion_version	SVN	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/blueMSX-libretro.git	master	-	Makefile.libretro	-	acf358be18644a9df0ed9602d63c2f73d4fe605a	2022-07-21T17:21:02+02:00	Reduce strlens	acf358be18644a9df0ed9602d63c2f73d4fe605a	resolved	ref=master resolved_from=refs/remotes/origin/master
cannonball	yes	O	prefer_onion_version	1.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/cannonball.git	master	-	Makefile	-	8fb0d9561ee110f31f45610661649f0c1ff068ee	2022-03-09T21:05:03+01:00	Merge pull request #33 from jdgleaver/timing-fixes	8fb0d9561ee110f31f45610661649f0c1ff068ee	resolved	ref=master resolved_from=refs/remotes/origin/master
cap32	yes	O	prefer_onion_version	v4.2.0	2024-12-23T15:09:08+01:00	-	2024-12-23T14:09:08Z	onion_binary_commit_date	https://github.com/libretro/libretro-cap32.git	master	-	Makefile	-	dbfa1aa2dc132f57289329252829174c1cea4230	2024-10-21T12:03:47-05:00	Merge pull request #146 from warmenhoven/warmenhoven/pr/old-ios-tvos	dbfa1aa2dc132f57289329252829174c1cea4230	resolved	ref=master resolved_from=refs/remotes/origin/master
chailove	yes	O	prefer_onion_version	1.2.1	2023-12-17T01:01:49+00:00	-	2023-12-17T01:01:49Z	onion_binary_commit_date	https://github.com/libretro/libretro-chailove.git	master	-	Makefile	-	69000df629896fb08c26edcfb7a6f08d40e0c74c	2023-09-29T15:13:35-04:00	Merge pull request #427 from libretro/github-actions-1	69000df629896fb08c26edcfb7a6f08d40e0c74c	resolved	ref=master resolved_from=refs/remotes/origin/master
chimerasnes	yes	O	prefer_onion_version	-	2023-04-02T11:34:07+02:00	-	2023-04-02T09:34:07Z	onion_binary_commit_date	https://github.com/jamsilva/chimerasnes.git	master	-	Makefile	-	0542329f32ab524ce8606c2c859bcd49905a3c98	2022-12-21T20:23:39+00:00	Changes to the snesapu code based on uosnes 2010. Seems to fix some game freezes (e.g. Emerald Dragon and Daikaijuu Monogatari II).	0542329f32ab524ce8606c2c859bcd49905a3c98	resolved	ref=master resolved_from=refs/remotes/origin/master
crocods	yes	O	prefer_onion_version	v1	2023-12-17T01:01:49+00:00	-	2023-12-17T01:01:49Z	onion_binary_commit_date	https://github.com/libretro/libretro-crocods.git	master	-	Makefile	-	f1b4b91291ba1e8e7c0be02269cd0d75c7fa71b9	2022-07-26T14:25:18+02:00	Update .gitlab-ci.yml	f1b4b91291ba1e8e7c0be02269cd0d75c7fa71b9	resolved	ref=master resolved_from=refs/remotes/origin/master
daphne	yes	O	prefer_onion_version	Git	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/daphne.git	master	-	Makefile	-	b5481bab34a51369b6749cd95f5f889e43aaa23f	2022-07-28T11:51:07+02:00	Merge pull request #47 from zoltanvb/master	b5481bab34a51369b6749cd95f5f889e43aaa23f	resolved	ref=master resolved_from=refs/remotes/origin/master
dinothawr	yes	O	prefer_onion_version	v1.0	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/Dinothawr.git	master	-	Makefile	-	33fb82a8df4e440f96d19bba38668beaa1b414fc	2022-04-01T22:31:42+01:00	Merge pull request #21 from jSTE0/miyoo-platform	33fb82a8df4e440f96d19bba38668beaa1b414fc	resolved	ref=master resolved_from=refs/remotes/origin/master
dosbox_pure	yes	A	prefer_onion_version	0.21	2022-12-12T01:20:04+01:00	-	2022-12-12T00:20:04Z	onion_binary_commit_date	https://github.com/libretro/dosbox-pure.git	-	-	-	-	035e01e43623f83a9e71f362364fd74091379455	2022-11-06T01:17:14+09:00	"Handle ""fixed"" type keyword of cpu cycles config value (#357)"	035e01e43623f83a9e71f362364fd74091379455	resolved	ref=035e01e43623f83a9e71f362364fd74091379455 resolved_from=035e01e43623f83a9e71f362364fd74091379455
easyrpg	yes	A	prefer_onion_version	0.8.0.0	2023-05-29T11:38:24+02:00	2023-05-07T00:00:00Z	2023-05-07T00:00:00Z	embedded_binary_date	https://github.com/EasyRPG/Player.git	master	build	Makefile	-	084e67ff3f07a3c196573759414cced5ff966d9d	2023-05-04T23:13:54+02:00	Silence warnings	084e67ff3f07a3c196573759414cced5ff966d9d	resolved	ref=master resolved_from=refs/remotes/origin/master
ecwolf	yes	O	prefer_onion_version	-	2022-12-12T01:20:04+01:00	-	2022-12-12T00:20:04Z	onion_binary_commit_date	https://github.com/libretro/ecwolf.git	master	src/libretro	Makefile	-	f098da0d003c4780adf6a9503801081f1f25cc27	2022-10-16T15:17:43+02:00	Merge pull request #90 from bslenul/automap-fixes	f098da0d003c4780adf6a9503801081f1f25cc27	resolved	ref=master resolved_from=refs/remotes/origin/master
fake08	yes	A	prefer_onion_version	v0.0.2.19	2023-09-03T05:41:06+00:00	-	2023-09-03T05:41:06Z	onion_binary_commit_date	https://github.com/jtothebell/fake-08.git	-	-	-	-	aebd6b9648d1c450910ad79c78f9280dfbd20b25	2023-07-23T19:52:04-06:00	Better fix for audio channel -2 (stop sfx)	aebd6b9648d1c450910ad79c78f9280dfbd20b25	resolved	source_override; reason=onion_subject_commit_hint
fbalpha2012	yes	A	prefer_onion_version	v0.2.97.29	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/fbalpha2012.git	master	svn-current/trunk	makefile.libretro	-	7f8860543a81ba79c0e1ce1aa219af44568c628a	2022-03-27T15:14:42+01:00	Merge pull request #113 from vaguerant/taitof2fix	7f8860543a81ba79c0e1ce1aa219af44568c628a	resolved	ref=master resolved_from=refs/remotes/origin/master
fbalpha2012_cps1	yes	O	prefer_onion_version	v0.2.97.28	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/fbalpha2012_cps1.git	master	-	makefile.libretro	-	8bfb264ecf977c14efe762f0951dfdce76077f97	2022-08-07T14:23:03+02:00	Merge pull request #29 from zoltanvb/master	8bfb264ecf977c14efe762f0951dfdce76077f97	resolved	ref=master resolved_from=refs/remotes/origin/master
fbalpha2012_cps2	yes	O	prefer_onion_version	v0.2.97.28	2022-09-02T03:34:50+02:00	-	2022-09-02T01:34:50Z	onion_binary_commit_date	https://github.com/libretro/fbalpha2012_cps2.git	master	-	makefile.libretro	-	33191f1b463b6dcf9a36d7a6ca660f63ddd7e08e	2022-08-07T14:22:47+02:00	Merge pull request #35 from zoltanvb/master	33191f1b463b6dcf9a36d7a6ca660f63ddd7e08e	resolved	ref=master resolved_from=refs/remotes/origin/master
